date;time;exp_id;round;tray_id;tray_info;plant_id;position;plant_name;genotype;pid;weight;waw
2018-07-31;16:43:40;84;6;ES02_04_HW_LL;R02_1;ESTST069;B4;LC_LT_HW_LL;MES7;SC1;122;
2018-07-31;16:43:40;84;6;ES02_04_HW_LL;R02_1;ESTST070;B5;LC_LT_HW_LL;Col-0;SC1;124;
2018-07-31;16:43:40;84;6;ES02_04_HW_LL;R02_1;ESTST071;C1;LC_LT_HW_LL;MES7;SC1;122;
2018-07-31;16:43:40;84;6;ES02_04_HW_LL;R02_1;ESTST072;C2;LC_LT_HW_LL;ht1-5;SC1;119;
2018-07-31;16:43:40;84;6;ES02_04_HW_LL;R02_1;ESTST073;C3;LC_LT_HW_LL;empty;SC1;12;
2018-07-31;16:43:40;84;6;ES02_04_HW_LL;R02_1;ESTST074;C4;LC_LT_HW_LL;MES5;SC1;122;
2018-07-31;16:43:40;84;6;ES02_04_HW_LL;R02_1;ESTST075;C5;LC_LT_HW_LL;Col-0;SC1;124;
2018-07-31;16:43:40;84;6;ES02_04_HW_LL;R02_1;ESTST076;D1;LC_LT_HW_LL;ht1-4;SC1;125;
2018-07-31;16:43:40;84;6;ES02_04_HW_LL;R02_1;ESTST077;D2;LC_LT_HW_LL;ht1-2;SC1;126;
2018-07-31;16:43:40;84;6;ES02_04_HW_LL;R02_1;ESTST078;D3;LC_LT_HW_LL;Col-0;SC1;123;
2018-07-31;16:43:40;84;6;ES02_04_HW_LL;R02_1;ESTST079;D4;LC_LT_HW_LL;MES7;SC1;123;
2018-07-31;16:43:40;84;6;ES02_04_HW_LL;R02_1;ESTST080;D5;LC_LT_HW_LL;ht1-4;SC1;130;
2018-07-31;16:47:33;84;6;ES02_05_HW_LL;R02_1;ESTST081;A1;LC_LT_HW_LL;MES5;SC1;123;
2018-07-31;16:47:33;84;6;ES02_05_HW_LL;R02_1;ESTST082;A2;LC_LT_HW_LL;Col-0;SC1;116;
2018-07-31;16:47:33;84;6;ES02_05_HW_LL;R02_1;ESTST083;A3;LC_LT_HW_LL;Col-0;SC1;122;
2018-07-31;16:47:33;84;6;ES02_05_HW_LL;R02_1;ESTST084;A4;LC_LT_HW_LL;MES5;SC1;121;
2018-07-31;16:47:33;84;6;ES02_05_HW_LL;R02_1;ESTST085;A5;LC_LT_HW_LL;ht1-5;SC1;125;
2018-07-31;16:47:33;84;6;ES02_05_HW_LL;R02_1;ESTST086;B1;LC_LT_HW_LL;ht1-5;SC1;121;
2018-07-31;16:47:33;84;6;ES02_05_HW_LL;R02_1;ESTST087;B2;LC_LT_HW_LL;ht1-4;SC1;123;
2018-07-31;16:47:33;84;6;ES02_05_HW_LL;R02_1;ESTST088;B3;LC_LT_HW_LL;empty;SC1;12;
2018-07-31;16:47:33;84;6;ES02_05_HW_LL;R02_1;ESTST089;B4;LC_LT_HW_LL;MES7;SC1;121;
2018-07-31;16:47:33;84;6;ES02_05_HW_LL;R02_1;ESTST090;B5;LC_LT_HW_LL;ht1-2;SC1;120;
2018-07-31;16:47:33;84;6;ES02_05_HW_LL;R02_1;ESTST091;C1;LC_LT_HW_LL;MES7;SC1;127;
2018-07-31;16:47:33;84;6;ES02_05_HW_LL;R02_1;ESTST092;C2;LC_LT_HW_LL;ht1-4;SC1;124;
2018-07-31;16:47:33;84;6;ES02_05_HW_LL;R02_1;ESTST093;C3;LC_LT_HW_LL;empty;SC1;12;
2018-07-31;16:47:33;84;6;ES02_05_HW_LL;R02_1;ESTST094;C4;LC_LT_HW_LL;ht1-2;SC1;124;
2018-07-31;16:47:33;84;6;ES02_05_HW_LL;R02_1;ESTST095;C5;LC_LT_HW_LL;ht1-4;SC1;123;
2018-07-31;16:47:33;84;6;ES02_05_HW_LL;R02_1;ESTST096;D1;LC_LT_HW_LL;MES7;SC1;121;
2018-07-31;16:47:33;84;6;ES02_05_HW_LL;R02_1;ESTST097;D2;LC_LT_HW_LL;MES5;SC1;117;
2018-07-31;16:47:33;84;6;ES02_05_HW_LL;R02_1;ESTST098;D3;LC_LT_HW_LL;ht1-5;SC1;124;
2018-07-31;16:47:33;84;6;ES02_05_HW_LL;R02_1;ESTST099;D4;LC_LT_HW_LL;ht1-2;SC1;120;
2018-07-31;16:47:33;84;6;ES02_05_HW_LL;R02_1;ESTST100;D5;LC_LT_HW_LL;Col-0;SC1;123;
2018-07-31;16:48:10;84;6;ES02_06_HW_LL;R02_1;ESTST101;A1;LC_LT_HW_LL;Col-0;SC1;123;
2018-07-31;16:48:10;84;6;ES02_06_HW_LL;R02_1;ESTST102;A2;LC_LT_HW_LL;ht1-2;SC1;122;
2018-07-31;16:48:10;84;6;ES02_06_HW_LL;R02_1;ESTST103;A3;LC_LT_HW_LL;Col-0;SC1;113;
2018-07-31;16:48:10;84;6;ES02_06_HW_LL;R02_1;ESTST104;A4;LC_LT_HW_LL;MES7;SC1;125;
2018-07-31;16:48:10;84;6;ES02_06_HW_LL;R02_1;ESTST105;A5;LC_LT_HW_LL;MES7;SC1;125;
2018-07-31;16:48:10;84;6;ES02_06_HW_LL;R02_1;ESTST106;B1;LC_LT_HW_LL;Col-0;SC1;118;
2018-07-31;16:48:10;84;6;ES02_06_HW_LL;R02_1;ESTST107;B2;LC_LT_HW_LL;ht1-4;SC1;122;
2018-07-31;16:48:10;84;6;ES02_06_HW_LL;R02_1;ESTST108;B3;LC_LT_HW_LL;empty;SC1;12;
2018-07-31;16:48:10;84;6;ES02_06_HW_LL;R02_1;ESTST109;B4;LC_LT_HW_LL;MES5;SC1;121;
2018-07-31;16:48:10;84;6;ES02_06_HW_LL;R02_1;ESTST110;B5;LC_LT_HW_LL;ht1-4;SC1;132;
2018-07-31;16:48:10;84;6;ES02_06_HW_LL;R02_1;ESTST111;C1;LC_LT_HW_LL;ht1-5;SC1;122;
2018-07-31;16:48:10;84;6;ES02_06_HW_LL;R02_1;ESTST112;C2;LC_LT_HW_LL;ht1-2;SC1;123;
2018-07-31;16:48:10;84;6;ES02_06_HW_LL;R02_1;ESTST113;C3;LC_LT_HW_LL;empty;SC1;12;
2018-07-31;16:48:10;84;6;ES02_06_HW_LL;R02_1;ESTST114;C4;LC_LT_HW_LL;MES5;SC1;120;
2018-07-31;16:48:10;84;6;ES02_06_HW_LL;R02_1;ESTST115;C5;LC_LT_HW_LL;ht1-5;SC1;129;
2018-07-31;16:48:10;84;6;ES02_06_HW_LL;R02_1;ESTST116;D1;LC_LT_HW_LL;MES7;SC1;122;
2018-07-31;16:48:10;84;6;ES02_06_HW_LL;R02_1;ESTST117;D2;LC_LT_HW_LL;MES5;SC1;122;
2018-07-31;16:48:10;84;6;ES02_06_HW_LL;R02_1;ESTST118;D3;LC_LT_HW_LL;ht1-5;SC1;120;
2018-07-31;16:48:10;84;6;ES02_06_HW_LL;R02_1;ESTST119;D4;LC_LT_HW_LL;ht1-4;SC1;123;
2018-07-31;16:48:10;84;6;ES02_06_HW_LL;R02_1;ESTST120;D5;LC_LT_HW_LL;ht1-2;SC1;127;
2018-07-31;16:48:47;84;6;ES02_13_LW_LL;R02_1;ESTST241;A1;LC_LT_LW_LL;MES7;SC1;117;
2018-07-31;16:48:47;84;6;ES02_13_LW_LL;R02_1;ESTST242;A2;LC_LT_LW_LL;MES7;SC1;119;
2018-07-31;16:48:47;84;6;ES02_13_LW_LL;R02_1;ESTST243;A3;LC_LT_LW_LL;ht1-4;SC1;118;
2018-07-31;16:48:47;84;6;ES02_13_LW_LL;R02_1;ESTST244;A4;LC_LT_LW_LL;ht1-5;SC1;120;
2018-07-31;16:48:47;84;6;ES02_13_LW_LL;R02_1;ESTST245;A5;LC_LT_LW_LL;MES7;SC1;122;
2018-07-31;16:48:47;84;6;ES02_13_LW_LL;R02_1;ESTST246;B1;LC_LT_LW_LL;ht1-4;SC1;123;
2018-07-31;16:48:47;84;6;ES02_13_LW_LL;R02_1;ESTST247;B2;LC_LT_LW_LL;ht1-2;SC1;117;
2018-07-31;16:48:47;84;6;ES02_13_LW_LL;R02_1;ESTST248;B3;LC_LT_LW_LL;empty;SC1;12;
2018-07-31;16:48:47;84;6;ES02_13_LW_LL;R02_1;ESTST249;B4;LC_LT_LW_LL;ht1-4;SC1;108;
2018-07-31;16:48:47;84;6;ES02_13_LW_LL;R02_1;ESTST250;B5;LC_LT_LW_LL;ht1-2;SC1;123;
